,title,genre,votes,rating,release_year,plot,poster,imdb_id
394,Death Train,Action,286.0,2.9,2003,A man is supposed to guard a shipment of diamonds being sent by rail. But a man robs the train and kills the men guarding the diamonds. The robbers derail the train and hope to get away ...,https://m.media-amazon.com/images/M/MV5BMTQ2NTk4OTY0N15BMl5BanBnXkFtZTcwODA0OTYyMQ@@._V1_SX300.jpg,tt0297076
395,Howard Zinn: You Can't Be Neutral on a Moving Train,Documentary,752.0,7.4,2004,The life and times of Howard Zinn: the historian activist and author of several classics including A Peoples History of the United States. Archival footage and commentary by friend colleagues and Zinn himself.,https://m.media-amazon.com/images/M/MV5BMTkyNTQzNjE2Nl5BMl5BanBnXkFtZTcwNjA4MzcyMQ@@._V1_SX300.jpg,tt0416825
397,Snakes on a Train,Action,2161.0,2.2,2006,A Zombie curse is placed upon a woman which causes her to have living snakes inside her. Brujo who is looking after her attempts to take her to Los Angeles on the train. After several ...,https://m.media-amazon.com/images/M/MV5BMjA5OTgyMzE0Nl5BMl5BanBnXkFtZTgwMDczNjg4MDE@._V1_SX300.jpg,tt0843873
398,The Train: Some Lines Should Never Be Crossed...,Crime,953.0,4.3,2007,When two married business executives having an affair are blackmailed by a violent criminal the two must turn the tables on him to save their families.,https://m.media-amazon.com/images/M/MV5BN2JmYzc1NGUtY2Y3NS00ZDIyLThkMjMtNDk0Y2FkNmQwMDY3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,tt0995827
399,Train 2,Horror,5712.0,4.7,2008,In Europe a group of American college athletes unknowingly board a train that will become one deadly ride.,https://m.media-amazon.com/images/M/MV5BNzQ0ZDM3MjUtZTAwNi00ZWEyLWE5NWEtOTI4OWFlYjI5YTk1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,tt1015474
400,Night Train,Crime,8735.0,5.7,2009,Two passengers and the conductor discover that a man has passed away on their night train cabin. They come across a mysterious object in a box the dead man was carrying and they all wish to keep for themselves.,https://m.media-amazon.com/images/M/MV5BMTQxMjMzNDYxMV5BMl5BanBnXkFtZTcwMzY5NjU1Mg@@._V1_SX300.jpg,tt1020055
403,The Drudgery Train,Comedy,301.0,6.9,2012,Kitamichi is a 19-year-old labor worker. He develops feelings for Yasuko who works in a used used bookstore but he has never had a girlfriend. He also befriends Kusakabe but jealousy soon threatens their friendship.,https://m.media-amazon.com/images/M/MV5BMjkyNzU3ZGQtYTQ5NC00ZThiLTkwZmUtOWM5M2UyNmQ3NGJmXkEyXkFqcGdeQXVyNjUwMTQ4NjE@._V1_SX300.jpg,tt2127305
203,The Girl on the Train,Crime,160200.0,6.5,2016,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,https://m.media-amazon.com/images/M/MV5BNzFlMjA0ZmUtZWI0Mi00ZGJkLTlmMmYtZmE1ODZiMjhjMGM0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,tt3631112
408,Deidra & Laney Rob a Train,Comedy,1443.0,6.1,2017,After their mother ends up in jail two sisters turn to train robbery in order to support their family.,https://m.media-amazon.com/images/M/MV5BMjAxNzA0NTQxMl5BMl5BanBnXkFtZTgwMDk2NjQ3MTI@._V1_SX300.jpg,tt4144332
410,How to Train Your Dragon: The Hidden World,Animation,88326.0,7.5,2019,When Hiccup discovers Toothless isn't the only Night Fury he must seek 'The Hidden World' a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.,https://m.media-amazon.com/images/M/MV5BMjIwMDIwNjAyOF5BMl5BanBnXkFtZTgwNDE1MDc2NTM@._V1_SX300.jpg,tt2386490
411,Jazz Boat,Comedy,56.0,6.3,1960,An electrician is summoned to assist a gang in a big robbery.,https://m.media-amazon.com/images/M/MV5BNDhmZWYxMjEtOWNiYi00OTFmLWEwODUtN2RmYzA0OTE1YzQ1XkEyXkFqcGdeQXVyMjIyNjE2NA@@._V1_SX300.jpg,tt0053963
412,Mississippi Slow Boat,Animation,8.0,4.4,1961,N/A,N/A,tt0151595
413,The Girl on the Boat,Comedy,148.0,5.9,1962,"The zany Wisdom,put in charge of his aunt's cottage during an English summer in the roaring twenties,decides to invite several of his friends to his posh new digs. Among the invitees is ...",https://m.media-amazon.com/images/M/MV5BMTIyMjM5MTU2MV5BMl5BanBnXkFtZTcwMjkwMDUyMQ@@._V1_SX300.jpg,tt0056022
415,The Glass Bottom Boat,Comedy,4030.0,6.5,1966,"After a series of misunderstandings,the head of an aerospace research laboratory begins to suspect his new girlfriend is a Russian spy.",https://m.media-amazon.com/images/M/MV5BYzdiMWViOTQtNzQxNS00ZmNlLWEwNjMtYjY2NDcwNTljOGY5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,tt0060463
416,My Dream Boat,Drama,10.0,6.9,1967,"The film tells a complicated love story. Carmen with Ke,Xiang Yi and Jiyuan. They start as a friend,but somehow a love triangle occur,and the outcome is very tragic.",https://m.media-amazon.com/images/M/MV5BNmJlY2FjYjEtZDQ1NS00MmM1LTg0MzAtNzgxNjQxZWM2OGU4XkEyXkFqcGdeQXVyMjAyNTEwOQ@@._V1_SX300.jpg,tt0185232
417,Small Boat Navy in Vietnam,Short,5.0,8.4,1968,N/A,N/A,tt0282984
418,Ballerina on the Boat,Animation,124.0,7.1,1969,"A Graceful passenger charmes the seamen with a marvellous dance. And when the storm comes,she reaches coast in a jump-weed and helps the ship to throw an anchor and rescues it from destruction.",N/A,tt0480343
419,The Boat on the Grass,Drama,250.0,5.0,1971,Trotz ihrer sozialen Differenzen sind der arme David und der reiche Olivier die besten Freunde. David hat in Oliviers Pariser Appartement die junge Eleanore untergebracht. Als Olivier sie ...,https://m.media-amazon.com/images/M/MV5BNDY3NjU3MzEtMGMxNC00ZjkwLTkzZGEtNDQzZGQ4ZDcwYzVlXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,tt0065454
421,Why Rock the Boat?,Comedy,18.0,7.1,1974,A young naive reporter romances a female reporter who is quietly organizing a journalist union and joins her cause.,https://m.media-amazon.com/images/M/MV5BYWZmMGFmYmUtMzVhOC00ODkwLTg2MzItMjE3ODhmZmYxN2RhXkEyXkFqcGdeQXVyMDAyMTY3Nw@@._V1_SX300.jpg,tt0072406
422,Three Men in a Boat,Comedy,268.0,7.3,1975,"One hot June day,three friends decide there is nothing they would like to do more than to get away from London. A boating holiday with lots of fresh air and exercise would be just the very...",https://m.media-amazon.com/images/M/MV5BNGRiNTQ2ZDQtZjg0YS00MjJjLTgxN2EtNTEwMmZlMTJkY2MxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzcyODA0MDM@._V1_SX300.jpg,tt0073803
423,When the Boat Comes In,Drama,306.0,8.4,1976,"Set in Gallowshields on Tyneside between the 2 World Wars,this story follows the life of ex-sergeant Jack Ford and the Seaton family as they deal with the aftermath of the Great War,the Great 1920s Depression and trade union activists.",https://m.media-amazon.com/images/M/MV5BMGY0NmY0MWEtNTk3YS00YjJjLWJkZmItMGM0MTEzZjU2NGE4XkEyXkFqcGdeQXVyMTk0MjQ3Nzk@._V1_SX300.jpg,tt0074072
424,The Love Boat,Comedy,8263.0,6.1,1977,"The romantic and comic tales of the passengers and crew of the cruise ship,Pacific Princess.",https://m.media-amazon.com/images/M/MV5BMTY0NTYwMDg1MV5BMl5BanBnXkFtZTcwMjAyMjE2MQ@@._V1_SX300.jpg,tt0075529
425,Patrol Boat,Action,27.0,8.5,1979,N/A,https://m.media-amazon.com/images/M/MV5BMTU2NjkyNzY5OF5BMl5BanBnXkFtZTgwNTczMzU4MTE@._V1_SX300.jpg,tt0139788
428,Boat People,Drama,733.0,7.6,1982,A Japanese photojournalist revisits Vietnam after the Liberation and learns harsh truths about its regime and its 'New Economic Zones'.,https://m.media-amazon.com/images/M/MV5BNDhhOTY2MGYtZDhjMy00YjJhLThlNDAtMjAyZDM0ODI1YTljXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,tt0084807
434,The Show Boat Story,Documentary,14.0,7.6,1989,"A documentary detailing the writing and premiere production of the famous Kern-Hammerstein musical,as well as the recording of the landmark 1988 EMI 3-CD 'authentic' version,the first ...",N/A,tt0283594
435,Utolsó hajó,Short,31.0,7.1,1990,The last ship (Utolsó hajó) is leaving the quay. Sirens are sounding.,N/A,tt0264139
436,Ferry Boat Fred,Animation,10.0,8.0,1992,N/A,N/A,tt0343263
437,The Last U-Boat,Drama,250.0,6.2,1993,In 1945 an advanced type of German U-boat loaded with atomic technology en route for Japan and escorted by Japanese naval officers receives news that Germany has capitulated.,https://m.media-amazon.com/images/M/MV5BMjk2NjcwOTc1NV5BMl5BanBnXkFtZTcwOTM0NjM0MQ@@._V1_SX300.jpg,tt0100012
440,Fresh Off the Boat,Drama,7.0,6.0,1997,"A romantic comedy about Johnny,a handsome waiter with a wild imagination. In his attempt to seduce confident,yet cynical Anna he convinces he that he is an immigrant terrorist.",https://m.media-amazon.com/images/M/MV5BMTg5ODc2MDM5N15BMl5BanBnXkFtZTcwODcwODM2MQ@@._V1_SX300.jpg,tt0154516
441,Love Boat: The Next Wave,Comedy,349.0,4.7,1998,"Retired Navy commander Jim Kennedy is divorced and has a teenage son. He takes over the famous cruise ship,where he and his crew tackle various scenarios with different passengers every ...",https://m.media-amazon.com/images/M/MV5BMTYxMjM3MzU2MV5BMl5BanBnXkFtZTcwNTU3NzAxOA@@._V1_SX300.jpg,tt0143050
442,Row Your Boat,Drama,299.0,5.9,1999,"Jamey Meadows is a convict just released from prison,hoping to live a straight life on the outside. His brother tries to reenlist him into the crime world,but Jamey resists,getting a job...",https://m.media-amazon.com/images/M/MV5BMTUyNzE4Njc1N15BMl5BanBnXkFtZTcwOTk0MjUyMQ@@._V1_SX300.jpg,tt0147287
443,Entertainment Tonight Presents: The Love Boat - Secrets from the Ship,Documentary,6.0,4.2,2000,N/A,N/A,tt0488531
444,Is Harry on the Boat?,Drama,528.0,6.5,2001,The lives of reps on the island of Ibiza.,https://m.media-amazon.com/images/M/MV5BMTY0NzM5ODc0MF5BMl5BanBnXkFtZTcwODYyODAwMQ@@._V1_SX300.jpg,tt0280779
445,Boat Trip,Comedy,29639.0,4.9,2002,Two straight men mistakenly end up on a 'gays only' cruise.,https://m.media-amazon.com/images/M/MV5BMjAxNzQ4MjczMV5BMl5BanBnXkFtZTYwNjEzNTk5._V1_SX300.jpg,tt0285462
448,Haunted Boat,Drama,612.0,2.0,2005,"HAUNTED BOAT is a mystical,mind-twisting psychological horror film about six teenagers going on a boat trip and getting lost in parallel dimensions where they have to face their greatest fears.",https://m.media-amazon.com/images/M/MV5BNzU1MTAxNDE1MV5BMl5BanBnXkFtZTYwNjQyODg2._V1_SX300.jpg,tt0428081
450,Boat,Short,1002.0,5.8,2007,A journey into night.,https://m.media-amazon.com/images/M/MV5BN2U1MTVkNTktOTg2Yi00YTQ4LTgxMTUtMjg3MTU5MDdmODI5XkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_SX300.jpg,tt0940502
452,Boat (2),Drama,103.0,6.0,2009,A drama centered on two men involved in the smuggling industry in Japan.,https://m.media-amazon.com/images/M/MV5BMTUxNTEyMDIzN15BMl5BanBnXkFtZTgwMzI2MjA2MDE@._V1_SX300.jpg,tt1242533
453,Attach Boat to Motor,Short,6.0,5.2,2010,"Follow the events of an otherwise ordinary day,during which one boy makes a decision to follow his own path.",N/A,tt1922553
454,The Boat,Adventure,3872.0,7.3,2011,"A global cataclysm,caused by a fatal accident in Geneva (Switzerland) during the implementation of the particle accelerator will lead to crew of vessel-school Estrella Polar to live the adventure of their lives.",https://m.media-amazon.com/images/M/MV5BY2U4ZTYwMjgtZjRmNS00MzYwLWI2NmQtYmQ4YmE3MTcxOWE3XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,tt1788634
455,Paper Boat,Drama,400.0,7.2,2012,"Tidal relationship between two human beings,Kugy and Keenan. Kugy is a tomboyish girl,cheerful,and who believes that she is the agent of Neptune.",https://m.media-amazon.com/images/M/MV5BNjNhYTRlZTYtZjYwZi00MDFiLTk5MTItN2YyZDcyNzM3ZTQwXkEyXkFqcGdeQXVyMzgxNTk0NTE@._V1_SX300.jpg,tt2343134
456,Old Jack's Boat,Family,53.0,7.5,2013,Cbeebies TV show featuring live action and animation. A ship captain tells of his sea adventures with his dog Salty,https://m.media-amazon.com/images/M/MV5BNTQ2NTI5ZWUtMTM4Yy00M2MyLWEyZTMtMDA2NGI5MjQ4YWYzXkEyXkFqcGdeQXVyMTY1MjU3OQ@@._V1_SX300.jpg,tt2645782
459,In the Same Boat,Documentary,30.0,8.4,2016,"In The Same Boat is an artistic and sophisticated analysis of the effects of globalisation on the world,which presents an optimistic argument for the future of the planet. Guided by some ...",https://m.media-amazon.com/images/M/MV5BZGNhZWYyNTgtNDkwNi00N2Y4LWJmYjEtYzQzMDMzY2NmZTE1XkEyXkFqcGdeQXVyMjU1MTY3NDQ@._V1_SX300.jpg,tt5545582
460,Dream Boat,Documentary,1282.0,5.3,2017,"Once a year,the Dream Boat sets sail - a cruise only for gay men. Far from their families and political restrictions,we follow five men from five countries on a quest for their dreams. ...",https://m.media-amazon.com/images/M/MV5BYmM2NDhjYTQtMTExZi00OThlLTkzYzItNzNmODQxM2IyMjg2XkEyXkFqcGdeQXVyNjc2NTI1OTc@._V1_SX300.jpg,tt6627466
461,The Boat (),Mystery,1438.0,5.4,2018,A solo sailor is locked inside the head of a sailboat which is under steam on autopilot.,https://m.media-amazon.com/images/M/MV5BMjA5MDQ1MTc5Ml5BMl5BanBnXkFtZTgwNTk5MjAzNjM@._V1_SX300.jpg,tt7468616
462,Same Boat,Comedy,20.0,4.3,2019,A time traveling assassin inadvertently falls in love with his target aboard a cruise ship.,https://m.media-amazon.com/images/M/MV5BZjcxM2Q3YzItZDFmNi00NTcwLWEyODMtNzc4M2ZkZWM5MDJhXkEyXkFqcGdeQXVyMjUxMTAzNzE@._V1_SX300.jpg,tt9663666
463,The Boy and the Pirates,Family,275.0,5.1,1960,A young boy is magically transported back in time to a pirate ship on the high seas.,https://m.media-amazon.com/images/M/MV5BMTY3MTE4NDM2OV5BMl5BanBnXkFtZTgwMTU4Nzk1MDE@._V1_SX300.jpg,tt0053672
464,The Errand Boy,Comedy,1680.0,6.4,1961,"Paramutual Pictures wants to know where all the money is going,so they hire Morty to be their spy. Morty works for Mr. Sneak and gets a job in the mail room so that he can have access to ...",https://m.media-amazon.com/images/M/MV5BNWVmYWYxMTAtYjg3Mi00YjAwLTkwNWEtZWU5MzhkMWZhZTE2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,tt0054853
465,Naughty Boy,Comedy,348.0,5.7,1962,"Pritam works as a Book-keeper in an Export Import Firm and does not have a roof to live under. When he goes to search for accommodation,he runs into a friend,Jagdish,who takes him to a ...",https://m.media-amazon.com/images/M/MV5BMzI5YzRmODUtMWE1Zi00ZjkwLWI3ZGQtYTJkNjFiZGVjZmZlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,tt0268489
466,A Boy Ten Feet Tall,Adventure,369.0,7.2,1963,"Ten year old Sammy travels 4500 miles on his own from the Suez Canal to Durban,South Africa.",N/A,tt0056886
467,Astro Boy,Animation,37.0,7.2,1964,N/A,https://m.media-amazon.com/images/M/MV5BMTg4NjY4NDA3MF5BMl5BanBnXkFtZTcwNDE2NzMzMQ@@._V1_SX300.jpg,tt0185719
468,Boy and Bicycle,Short,941.0,5.9,1965,"A teenage boy plays truant from school,and spends the day riding around the town and the deserted beach on his bicycle,letting his mind wander as he imagines he is the only person in the world.",https://m.media-amazon.com/images/M/MV5BNDkyMWUyMTMtZWQ5NC00MTgzLThmNDktY2Q4NDU3NDVlNmNhXkEyXkFqcGdeQXVyNjE4MDMwMjk@._V1_SX300.jpg,tt0346645
469,You're a Big Boy Now,Comedy,1237.0,6.2,1966,"Post-teen virgin moves to New York City,falls for a cold-hearted beauty,then finds true love with a loyal lass.",https://ia.media-imdb.com/images/M/MV5BMTQ4NTQzNzY3MV5BMl5BanBnXkFtZTgwNjQyNjIzMTE@._V1_SX300.jpg,tt0061209
470,Pretty Boy and Rosa,Comedy,88.0,6.7,1967,N/A,https://m.media-amazon.com/images/M/MV5BNTk3MjVhZmUtOTc4YS00MzBkLTllYzMtYTEzNDM1MTdiMWQ5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg,tt0124130
471,The Little Drummer Boy,Animation,4212.0,7.0,1968,An orphan drummer boy who hated humanity finds his life changed forever when he meets three wise men on route to Bethlehem.,https://m.media-amazon.com/images/M/MV5BMTU0MDY4NjAwMl5BMl5BanBnXkFtZTcwODY4NTYyMQ@@._V1_SX300.jpg,tt0063230
472,Boy,Drama,1240.0,7.5,1969,A young boy reluctantly aids his swindling father in a threatening scam.,https://m.media-amazon.com/images/M/MV5BY2NiNjA4MzktYTBiOC00ZjZjLThkMzYtNThhY2VlMDRlMjY3XkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_SX300.jpg,tt0063876
473,A Bullet for Pretty Boy,Action,151.0,4.8,1970,The movie tells the biography of the gangster Charles 'Pretty Boy' Floyd who started his career young aged when he saw his father die and seeked out revenge by killing his murderer during a...,https://m.media-amazon.com/images/M/MV5BMjI3MTE1MDk0Ml5BMl5BanBnXkFtZTgwMDcxODk1MDE@._V1_SX300.jpg,tt0065501
474,The Boy Friend,Comedy,2441.0,7.8,1971,"When the leading lady of a low-budget musical revue sprains her ankle,the assistant stage manager is forced to understudy and perform in her place,becoming a star and finding love in the process.",https://ia.media-imdb.com/images/M/MV5BYWUzOTQ0MzAtODIyNy00OWQyLWE5YmUtZmZmYjBlMWExMDNjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,tt0066858
475,The Boy Who Turned Yellow,Adventure,185.0,5.7,1972,"John and his class go on a school trip to the Tower of London. While he is there he loses his pet mouse and vows to return and find her later. Back in school,he is not very attentive and ...",https://m.media-amazon.com/images/M/MV5BM2FlNzhmMjItZGVhNy00Y2M3LWEzZTUtMWMyYmZmMWVmMDNlXkEyXkFqcGdeQXVyMzYyMzU2OA@@._V1_SX300.jpg,tt0068311
476,The Boy Who Cried Werewolf,Horror,510.0,5.2,1973,"Richie Bridgestone (whose parents are divorced) goes to spend the weekend with his father at his secluded mountain cabin. During a moonlight hike,they are attacked in the darkness by a ...",https://m.media-amazon.com/images/M/MV5BZTRhNGQ1ZmMtODg4Ny00YjMyLWFlZDYtMTBkYzJlZWM3YzBjXkEyXkFqcGdeQXVyNTEwMjc1MjI@._V1_SX300.jpg,tt0069820
477,The Story of Pretty Boy Floyd,Crime,70.0,6.6,1974,"A humanistic account of 'the Robin Hood of the Cookson Hills',in which Charles Arthur Floyd is portrayed as a decent man who has a strong sense of family and duty.",N/A,tt0072212
478,A Boy and His Dog,Comedy,15894.0,6.5,1975,A young man and his telepathic dog wander a post-apocalyptic wasteland.,https://m.media-amazon.com/images/M/MV5BOGJhNjZjMTUtZjgyMi00YWZlLTgwMjEtYWMyMDE0ZjQ3N2U4XkEyXkFqcGdeQXVyNDUwMTUxMDU@._V1_SX300.jpg,tt0072730
479,The Boy in the Plastic Bubble,Biography,4118.0,5.7,1976,The girl next door makes a teen born with immune deficiencies want to leave his germ-free bubble.,https://m.media-amazon.com/images/M/MV5BMjA5MTYyMjc5M15BMl5BanBnXkFtZTcwMjI1OTQyMQ@@._V1_SX300.jpg,tt0074236
480,Mattie the Goose-Boy,Animation,1725.0,8.3,1977,"A young peasant boy stands up to tyranny,aided by his trusting friend- a goose.",https://m.media-amazon.com/images/M/MV5BYTNmZTBjYTMtMWQ0ZS00NmNhLTk4ZGQtOGM5YmJhNTQzNTIxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjIzMDAwOTc@._V1_SX300.jpg,tt0142632
481,Future Boy Conan,Animation,3314.0,8.7,1978,"After the world is nearly destroyed by a war,a young boy and his friends must fight to save the world from those who seek to conquer what is left of civilization.",https://m.media-amazon.com/images/M/MV5BNjRhZDJkNjEtYzcwZS00NDJjLTljMTAtNTY1ZmYyYzQ2Njk0XkEyXkFqcGdeQXVyNDE2NjE1Njc@._V1_SX300.jpg,tt0077013
482,Taro the Dragon Boy,Adventure,729.0,7.5,1979,"A young boy has to make a voyage to a distant lake to save his mother,who has been turned into a dragon.",https://m.media-amazon.com/images/M/MV5BMTYyNTcyMTIzNl5BMl5BanBnXkFtZTcwMzI4MzkzMQ@@._V1_SX300.jpg,tt0061069
483,Rude Boy,Drama,981.0,6.6,1980,A young British punk and roadie for The Clash navigates life in socially torn 1970s England.,https://m.media-amazon.com/images/M/MV5BMTY0MTMzNjYzMl5BMl5BanBnXkFtZTcwNDc2MTYyMQ@@._V1_SX300.jpg,tt0081441
484,The Promising Boy,Comedy,1201.0,8.0,1981,A normal boy receives a blow to the head which sets him off to do rebellious acts.,https://m.media-amazon.com/images/M/MV5BN2RkNDM0MWItNWUwNy00OTliLWE2ZTItOGUxMTk2NTg1ZGY1XkEyXkFqcGdeQXVyMzIwMTIwODc@._V1_SX300.jpg,tt0180633
485,Boy Meets Girl (doc),Biography,46.0,6.5,1982,"Two doctors from Tel Aviv join 'Doctors Without Borders' and travel to Thailand to help out refugees. They leave their daughter,Aya (aged 10) at a kibbutz where the children are housed by ...",https://m.media-amazon.com/images/M/MV5BMDlhYzliZDgtMzZjZi00NjBhLWIzZGUtNGRhZjI1ZjcyNmJlXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_SX300.jpg,tt0083637
486,Conrad: The Factory-Made Boy,Family,45.0,7.6,1983,"In a tin box,7-year-old instant kid Konrad is brought into the house of the painter Bartolotti,due to a computer error. Not only that she didn't want a child,such a good and polite one ...",https://m.media-amazon.com/images/M/MV5BMjQ1MWNiZjMtYWY5OC00NDdmLWJmNTktYWFmYjNhOTI2MzdlXkEyXkFqcGdeQXVyNjU2Mjk4ODE@._V1_SX300.jpg,tt0084220
487,Boy Meets Girl,Drama,2639.0,7.0,1984,"Paris by night. Alex,22,wants to become a filmmaker. He is fascinated by first times and his girlfriend,Florence,has just left him for his best friend,Thomas. First break-up,first ...",https://m.media-amazon.com/images/M/MV5BMTIyNjM4MjIwM15BMl5BanBnXkFtZTcwMTg1MjMyMQ@@._V1_SX300.jpg,tt0086994
488,Jac Mac & Rad Boy Go!,Animation,99.0,7.8,1985,Two party bound teens inadvertently destroy a city on their way to hell.,https://m.media-amazon.com/images/M/MV5BMTQ0MzcyMTQ4Ml5BMl5BanBnXkFtZTcwNDg3OTQ5OA@@._V1_SX300.jpg,tt0875593
489,The Boy Who Could Fly,Drama,5172.0,6.5,1986,"An autistic boy who dreams of flying touches everyone he meets,including a new family who has moved in after their father dies.",https://m.media-amazon.com/images/M/MV5BMmIwYTU0ZTItNzEzYy00Yzk1LWFlYTMtODY2NzkyYTViMDNjXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,tt0090768
490,A Boy from Calabria,Drama,300.0,7.0,1987,Dad wants his 13-year-old son to work harder and smarter than he himself did; thus justifying the beatings and scoldings given the boy. The boy was also forced to work with some rope manufacturers who worked him like a dog.,https://m.media-amazon.com/images/M/MV5BZDdmZTBmOWItOTFkMy00OTRkLWIyZDEtM2FmYTUwZjJhMjQ3XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,tt0092694
491,The Boy from Hell,Horror,119.0,4.2,1988,"A teenage boy is hidden at an orphanage by his mother to protect him against his father,who wants to use the boys body to be reborn.",https://m.media-amazon.com/images/M/MV5BZmNjZDRiOWQtYjY1Ny00NGI2LWJlOTQtNjJlMTc2N2MzM2VjXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,tt0122008
492,Fat Man and Little Boy,Biography,6629.0,6.5,1989,"This film reenacts the Manhattan Project,the secret wartime project in New Mexico where the first atomic bombs were designed and built.",https://m.media-amazon.com/images/M/MV5BMmUzNjY5NTAtODExZi00MDM5LWE0OGQtOWI0NGI3OTYzNmI3XkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,tt0097336
493,Halfaouine: Boy of the Terraces,Drama,1064.0,6.8,1990,A coming-of-age comedy/drama set in Tunisia. Twelve-year-old Noura is an impressionable boy who must learn to reconcile two conflicting worlds - the loving world of Muslim women and the ...,https://m.media-amazon.com/images/M/MV5BNzk3NjEyODcyNV5BMl5BanBnXkFtZTcwMjIyMDUyMQ@@._V1_SX300.jpg,tt0090665
494,The Last Boy Scout,Action,89429.0,7.0,1991,"A private detective's protected female witness is murdered,prompting him and the victim's boyfriend to investigate the crime that leads to a corrupt politician and a crooked football team owner.",https://m.media-amazon.com/images/M/MV5BN2QxYjAwNDUtYWIzMC00ZTg3LTg5YjMtOGM4YzAyZmUxMzI2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,tt0102266
495,Lakki... The Boy Who Could Fly,Drama,229.0,5.2,1992,"Surreal tale of a friendless,lonely boy who dreams of escape from a broken home with an neglectful,promiscuous. alcoholic mother and self-centered,clueless,absent father.",https://m.media-amazon.com/images/M/MV5BMjA5MjYwNjUxN15BMl5BanBnXkFtZTcwMTI0NTUxMg@@._V1_SX300.jpg,tt0104673
496,Boy Meets World,Comedy,37279.0,8.1,1993,An adolescent with two siblings tests his various theories about life as he endures the trials of growing alongside a good friend.,https://m.media-amazon.com/images/M/MV5BMTkyMjAyNzAxNl5BMl5BanBnXkFtZTcwNjk1MDk5NA@@._V1_SX300.jpg,tt0105958
497,Cabin Boy,Adventure,7933.0,5.4,1994,A foul-mouthed finishing school graduate mistakenly winds up on an ill-fated fishing boat and faces the wrath of a crew that considers him bad luck.,https://m.media-amazon.com/images/M/MV5BZWI5ZmY5MDMtOWJkYy00YjJlLWI1MDctMjMwZDI3NTY4YmJlXkEyXkFqcGdeQXVyMTEwODg2MDY@._V1_SX300.jpg,tt0109361
498,Tommy Boy,Adventure,73023.0,7.1,1995,"After his auto-parts tycoon father dies,the overweight,underachieving son teams up with a snide accountant to try and save the family business.",https://m.media-amazon.com/images/M/MV5BNTMwZGU3MGUtZWE0Ni00YzExLWIyY2MtMmNmMDlmYTdmNzFkXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,tt0114694
499,The Boy from Mercury,N/A,89.0,7.2,1996,"Harry is an eight-year-old boy growing up in Ireland with his dis-spirited widowed mother and older brother. He is bullied in school,and his only real friend is his dog Max. His great joy ...",https://m.media-amazon.com/images/M/MV5BNDMzNDBmZWYtMjIyYS00ZDU0LTkxYTktYjU4ZGM5NjliNWE3XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,tt0115740
501,The Adventures of Jimmy Neutron: Boy Genius,Animation,15625.0,6.7,1998,"A young boy,who happens to be a genius,lives in a small town with his family and friends and often gets into crazy adventures with them involving the things he invents.",https://m.media-amazon.com/images/M/MV5BMWRlNTRkM2ItNDkwMC00ZjNmLWI2ZDQtNWI0MTllMGU5OTVjXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,tt0320808
502,The Winslow Boy,Drama,7037.0,7.3,1999,"Following the theft of a postal-order,a fourteen-year old cadet is expelled from Naval College. To save the honour of the boy and his family,the pre-eminent barrister of the day is engaged to take on the might the Admiralty.",https://m.media-amazon.com/images/M/MV5BMDhmNzEyOGMtZGIwYi00NjY4LWFhNGYtMGFmZGViYzFiYzQ0XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,tt0155388
